sample,threshold,window,inference,horizon,beta_VRP,beta_deltaVRP,R2,N,t_VRP,t_deltaVRP,se_deltaVRP
BTZ_1990_2007,0.85,252,HAC,1,0.3005073037930691,0.0893762814677908,0.0174882175637313,204,1.2066660174967427,0.2957174022968549,0.3022354476726763
BTZ_1990_2007,0.85,252,HAC,3,0.5867782180156041,-0.3966940313317383,0.0814078596295349,204,2.148774205230656,-0.7413367102552499,0.5351064176966933
BTZ_1990_2007,0.85,252,HAC,6,0.8398694342631594,-0.5246451952648794,0.1282877199475751,204,1.7133377499261362,-0.7078108771036192,0.7412222844211456
BTZ_1990_2007,0.9,252,HAC,1,0.3288888019509537,0.6621245963476974,0.0399079722717047,204,1.7180532682150846,2.574905441518819,0.2571452083914741
BTZ_1990_2007,0.9,252,HAC,3,0.8986350504445547,1.279788114276089,0.1076059623316219,204,4.121878282724125,2.7516985950629675,0.4650902233886569
BTZ_1990_2007,0.9,252,HAC,6,1.2627236472340286,1.7928787105969384,0.1544931469167648,204,3.257281769542773,4.668554065741785,0.3840329758100528
BTZ_1990_2007,0.95,252,HAC,1,0.2526720937342432,0.4506335557299221,0.0250489766700265,204,1.295091441586519,1.3908522352403685,0.3239981532991843
BTZ_1990_2007,0.95,252,HAC,3,0.7479598196140816,1.0729197704405071,0.0933796054104214,204,3.1673129780886407,2.0730019215079656,0.5175681504723509
BTZ_1990_2007,0.95,252,HAC,6,1.0531724767985269,1.4109704139974948,0.1385857758752469,204,2.525891102733288,2.968061016053872,0.4753845713971956
BTZ_1990_2007,0.85,504,HAC,1,0.346642016974289,0.5595223093843584,0.0436334091002457,193,1.83258662186891,2.905212818418392,0.1925925377435737
BTZ_1990_2007,0.85,504,HAC,3,0.9489050407500164,1.0815045198921505,0.1169434229368914,193,3.977737482028,2.618008214657402,0.4131020345303532
BTZ_1990_2007,0.85,504,HAC,6,1.3005324334907915,1.2108630979127837,0.1590425395234365,193,3.012524249461594,2.583487031485514,0.468693313787038
BTZ_1990_2007,0.9,504,HAC,1,0.2260562641160605,-0.0431405835308601,0.0223086744805804,193,1.065431038586569,-0.1992247641731833,0.2165422742995875
BTZ_1990_2007,0.9,504,HAC,3,0.7000599620222298,-0.1392197166438657,0.0904037172435484,193,2.468272458252243,-0.4181324076182169,0.3329560543677894
BTZ_1990_2007,0.9,504,HAC,6,1.0187008847531058,-0.1672839543856867,0.1427255697196627,193,2.202129433094462,-0.4247999163843635,0.3937946970646915
BTZ_1990_2007,0.95,504,HAC,1,0.243359202287241,0.5601211106908862,0.0359510872039133,193,1.240400155990426,1.9172537949785728,0.2921476082915492
BTZ_1990_2007,0.95,504,HAC,3,0.7471880753643,0.8551251233955848,0.1004233940641333,193,3.0040917218635883,1.3572205671953086,0.6300561191484872
BTZ_1990_2007,0.95,504,HAC,6,1.0790407055721032,1.433339444479968,0.1573616030693867,193,2.537902655705881,2.563153020573807,0.5592094709035708
BTZ_1990_2007,0.85,756,HAC,1,0.3197180816300461,0.5587902390280258,0.0495212821664449,181,1.7268304999566015,3.335062726072743,0.1675501437078031
BTZ_1990_2007,0.85,756,HAC,3,0.9236904640990828,1.1955229195094934,0.1314944829771869,181,4.428924057197902,3.1622697314731414,0.3780584899544795
BTZ_1990_2007,0.85,756,HAC,6,1.2881113932184751,1.4428746910949977,0.1709897665709928,181,3.2443555751832336,3.6748955919380863,0.3926301183250887
BTZ_1990_2007,0.9,756,HAC,1,0.2983608511174218,0.5254837666100789,0.0416986019547436,181,1.5497292894726835,2.8724267373279155,0.1829407029886206
BTZ_1990_2007,0.9,756,HAC,3,0.8734018216414254,1.0865436919011733,0.1173177535098507,181,3.774110024167555,2.4288057798479277,0.4473571748372584
BTZ_1990_2007,0.9,756,HAC,6,1.24437950049486,1.450579039376081,0.1654881211077095,181,3.059997567724672,3.5537449045881395,0.4081832203271763
BTZ_1990_2007,0.95,756,HAC,1,0.2697332800393686,0.4675084173015273,0.0345718549934784,181,1.3820365193548112,1.4558162208587635,0.3211314797864742
BTZ_1990_2007,0.95,756,HAC,3,0.7728670956426867,0.420505592922018,0.0917660860659587,181,2.815974685809611,0.7371907610403265,0.5704162547135003
BTZ_1990_2007,0.95,756,HAC,6,1.1134516826984986,0.6048564423181269,0.1435565443485492,181,2.4407441447786344,0.8369081524695736,0.7227273871491136
BTZ_1990_2007,0.85,252,Hodrick,1,0.3005073037930691,0.0893762814677908,0.0174882175637313,204,1.2066660174967512,0.2957174022968549,
BTZ_1990_2007,0.85,252,Hodrick,3,0.5867782180156041,-0.3966940313317383,0.0814078596295349,204,2.8536464946332516,-0.7404064779748996,
BTZ_1990_2007,0.85,252,Hodrick,6,0.8398694342631594,-0.5246451952648794,0.1282877199475751,204,2.0232230630071633,-0.6752064257722,
BTZ_1990_2007,0.9,252,Hodrick,1,0.3288888019509537,0.6621245963476974,0.0399079722717047,204,1.7180532682151075,2.574905441518827,
BTZ_1990_2007,0.9,252,Hodrick,3,0.8986350504445547,1.279788114276089,0.1076059623316219,204,4.562868277108511,2.3872678414254915,
BTZ_1990_2007,0.9,252,Hodrick,6,1.2627236472340286,1.7928787105969384,0.1544931469167648,204,3.4559029067986176,5.668300224609046,
BTZ_1990_2007,0.95,252,Hodrick,1,0.2526720937342432,0.4506335557299221,0.0250489766700265,204,1.2950914415865673,1.3908522352403634,
BTZ_1990_2007,0.95,252,Hodrick,3,0.7479598196140816,1.0729197704405071,0.0933796054104214,204,3.5120042504285394,1.9980413007500544,
BTZ_1990_2007,0.95,252,Hodrick,6,1.0531724767985269,1.4109704139974948,0.1385857758752469,204,2.716042860593864,2.6249833884975895,
BTZ_1990_2007,0.85,504,Hodrick,1,0.346642016974289,0.5595223093843584,0.0436334091002457,193,1.832586621868883,2.905212818418378,
BTZ_1990_2007,0.85,504,Hodrick,3,0.9489050407500164,1.0815045198921505,0.1169434229368914,193,4.117963746252609,2.3229023443077925,
BTZ_1990_2007,0.85,504,Hodrick,6,1.3005324334907915,1.2108630979127837,0.1590425395234365,193,3.301805376206212,2.9336541032472585,
BTZ_1990_2007,0.9,504,Hodrick,1,0.2260562641160605,-0.0431405835308601,0.0223086744805804,193,1.065431038586568,-0.1992247641731835,
BTZ_1990_2007,0.9,504,Hodrick,3,0.7000599620222298,-0.1392197166438657,0.0904037172435484,193,2.8660834341984436,-0.5597509812417595,
BTZ_1990_2007,0.9,504,Hodrick,6,1.0187008847531058,-0.1672839543856867,0.1427255697196627,193,2.7174600951829273,-0.4833000204816993,
BTZ_1990_2007,0.95,504,Hodrick,1,0.243359202287241,0.5601211106908862,0.0359510872039133,193,1.2404001559904467,1.91725379497857,
BTZ_1990_2007,0.95,504,Hodrick,3,0.7471880753643,0.8551251233955848,0.1004233940641333,193,3.331632546913382,1.2264931674494923,
BTZ_1990_2007,0.95,504,Hodrick,6,1.0790407055721032,1.433339444479968,0.1573616030693867,193,2.6828549947974176,2.5314748476899345,
